element_id,project_id,element_type,length_mm,width_mm,thickness_mm,mix_w_c,cement_type,admixture,admixture_dose_pct,curing_method,automation_level,ambient_temp_c,ambient_rh_pct,casting_datetime,strength_hr24,strength_hr48,strength_hr72,strength_hr96,strength_hr168,yard_day_cost,rework_cost,required_demould_strength,mold_id,mold_count_available,daily_demand,steam_energy_cost_per_hour,electricity_cost_per_hour,labor_cost_per_shift,region,monsoon_flag,curing_chamber_capacity,baseline_cycle_time,mold_opportunity_cost
E00001,P01,Beam,4643,819,678,0.41,OPC,Plasticizer,1.44,Moist,0,33.3,69.9,2025-05-21 07:00:00,26.21,34.17,36.57,37.29,37.59,3861,21070,21,M060,52,53,827,587,15257,North,0,25,33,2402
E00002,P04,Beam,9219,2131,468,0.36,PSC,Accelerator,1.34,Ambient,1,30.0,75.4,2025-05-23 00:00:00,24.48,31.89,34.12,34.79,35.08,4009,21039,24,M025,42,37,1418,435,12711,Central,0,19,23,3050
E00003,P01,Wall,8229,1187,191,0.35,OPC,Plasticizer,1.46,Ambient,1,35.8,50.6,2025-05-31 20:00:00,27.39,35.7,38.21,38.96,39.28,3963,25628,19,M098,37,44,1450,727,17977,Central,0,10,31,2955
E00004,P02,Slab,8490,3000,295,0.4,OPC,Accelerator,0.93,Moist,1,25.8,54.6,2025-12-26 21:00:00,23.2,30.25,32.38,33.02,33.29,4352,38971,21,M084,73,18,1034,720,12525,East,0,15,32,2596
E00005,P01,Wall,5241,2444,525,0.44,PSC,Accelerator,0.47,Moist,0,22.3,58.3,2025-10-18 22:00:00,21.83,27.96,29.81,30.36,30.6,4305,36394,22,M150,47,52,1208,485,15593,South,0,9,36,3521
E00006,P01,Beam,9988,2129,185,0.38,PSC,Retarder,0.92,Steam,1,29.8,42.3,2025-02-26 04:00:00,30.75,40.05,42.85,43.69,44.05,4883,26238,18,M030,63,49,1073,693,22501,North,0,15,23,2702
E00007,P04,Wall,7600,1131,639,0.44,OPC,Plasticizer,0.5,Moist,2,16.6,87.4,2025-08-21 00:00:00,17.91,23.3,24.93,25.41,25.62,4839,37954,21,M040,43,25,1352,788,24757,South,1,21,20,3953
E00008,P03,Wall,6019,1380,179,0.45,OPC,Plasticizer,0.83,Ambient,0,18.1,64.8,2025-01-10 03:00:00,16.27,21.26,22.77,23.22,23.41,5298,33924,19,M137,69,23,931,637,19787,West,0,22,25,2585
E00009,P05,Beam,9340,1676,528,0.36,PSC,Retarder,1.39,Steam,1,21.5,73.1,2025-08-05 06:00:00,27.14,35.28,37.74,38.47,38.78,4047,26123,21,M017,41,16,1402,583,15770,Central,1,23,27,1529
E00010,P01,Slab,6206,690,646,0.43,OPC,Retarder,0.52,Steam,1,39.2,78.8,2025-04-28 02:00:00,32.26,42.28,45.29,46.2,46.58,4238,35669,20,M147,56,45,1048,701,19749,North,0,18,26,1886
